TCState,Female_Salary,Male_Salary,Transgender_Salary
Andaman and Nicobar Islands,9858,10000,0
Andhra Pradesh,8310,9107,9416
Arunachal Pradesh,10145,10396,8849
Assam,7330,7718,7000
Bihar,7869,8277,7543
Chandigarh,9270,9421,0
Chhattisgarh,7093,7704,0
Delhi,10139,10454,10500
Goa,8853,8035,12354
Gujarat,8141,8702,9750
Haryana,8522,9227,7840
Himachal Pradesh,7831,7759,8361
Jammu and Kashmir,6896,7002,8134
Jharkhand,8174,8308,7831
Karnataka,8843,9804,9431
Kerala,7961,8762,1131
Ladakh,7164,7785,0
Lakshadweep,8154,8851,0
Madhya Pradesh,6995,7789,8350
Maharashtra,7662,8960,8944
Manipur,7686,8275,7546
Meghalaya,10267,10120,7845
Mizoram,11663,12457,0
Nagaland,5978,6630,7645
Odisha,7657,8100,7500
Puducherry,7365,8098,8354
Punjab,7570,8137,8777
Rajasthan,7472,8049,7700
Sikkim,9474,9352,0
Tamil Nadu,6874,7876,7000
Telangana,8151,8805,6000
The Dadra and Nagar Haveli and Daman and Diu,12827,12484,0
Tripura,5669,7419,7842
Uttar Pradesh,8173,8688,6500
Uttarakhand,8547,8534,8231
West Bengal,6666,7399,8026
